grupos2,grupos,sin_agua,capacidad,densidad,grado_con,frecuencia,volumen,frec_cat,prec_cat,vol_cat,is50,precip,id
11,4,194,71758017.0,141.338,4,26,17.1918,3,3,2,0.01988,638.8242,140
10,3,318,12756440.5,32.925,2,26,17.1918,3,2,2,0.01988,636.2344,141
4,3,5,23490093.0,3.237,15,1,9.0,1,4,2,0.00107,731.9328,142
15,5,144,2047995.0,6.681,1,93,49.9825,4,3,3,0.07157,700.4671,143
15,5,127,898886.0,3.958,1,93,49.9825,4,3,3,0.07157,691.1583,144
15,5,301,2208373.0,6.821,6,93,49.9825,4,3,3,0.07157,690.6375,145
11,4,263,6483473.0,12.084,7,22,84.7574,3,3,4,0.02507,676.3429,146
3,2,149,1978910.0,9.201,0,2,0.0125,1,3,1,0.00071,665.7841,147
3,2,105,920686.0,3.582,2,2,0.0125,1,3,1,0.00071,656.5368,148
7,3,122,4450408.398,15.163,2,5,0.0125,2,3,1,0.00285,644.2083,149
2,2,218,26765772.6,74.211,10,3,8.0083,1,2,2,0.00238,633.3214,150
2,2,39,17058447.0,67.609,1,3,8.5042,1,2,2,0.00244,624.6103,151
6,3,60,43372238.2,159.848,4,5,352.0025,2,2,4,0.04476,619.8281,152
2,2,54,201258.57,0.262,3,1,225.0,1,2,4,0.02678,618.1516,153
2,2,116,4455968.201,27.719,5,3,0.0125,1,2,1,0.00143,609.75,154
6,3,139,22788579.73,164.814,1,5,10.5075,2,2,2,0.0041,607.3906,155
11,4,168,789507.0,1.273,1,22,84.7574,3,3,4,0.02507,678.816,156
11,4,161,3962359.4,18.17,1,60,46.8088,3,3,3,0.04765,641.0357,157
10,3,168,4342127.0,15.214,2,60,46.8088,3,2,3,0.04765,637.0714,158
10,3,67,9502408.0,54.43,2,28,93.3634,3,2,4,0.03037,608.7969,159
2,2,48,12244300.0,71.185,0,1,90.0,1,2,4,0.01071,609.2833,160
6,3,684,44193187.0,59.517,16,6,3.0104,2,2,1,0.00392,603.0945,161
12,5,56,389595.0,0.259,4,33,90.5864,3,4,4,0.03361,763.7335,162
11,4,138,29388266.0,24.508,23,60,46.8088,3,3,3,0.04765,640.9041,163
15,5,189,8022563.199,21.879,11,93,49.9825,4,3,3,0.07157,695.6176,164
15,5,579,11833569.9,23.162,11,93,49.9825,4,3,3,0.07157,702.4596,165
6,3,94,29795546.5,86.835,16,19,8.6408,2,2,2,0.01387,606.94,166
6,3,68,50723063.5,124.764,9,8,4.8188,2,2,1,0.00557,606.8565,167
7,3,164,10943223.88,36.639,8,13,1.2317,2,3,1,0.0087,646.2813,168
2,2,72,18457300.0,172.993,0,4,14.2563,1,2,2,0.00384,621.3636,169
2,2,64,22982430.0,205.398,0,4,14.2563,1,2,2,0.00384,619.0375,170
6,3,59,1595442.301,10.566,0,8,9.0063,2,2,2,0.00606,617.2875,171
6,3,52,12403350.0,89.974,2,8,9.0063,2,2,2,0.00606,616.1786,172
6,3,38,5819021.898,66.541,2,8,9.0063,2,2,2,0.00606,614.8542,173
6,3,79,17997947.4,124.349,0,8,6.8188,2,2,2,0.0058,614.0417,174
6,3,142,33334090.0,198.841,5,8,6.8188,2,2,2,0.0058,612.4318,175
6,3,102,5084940.0,36.577,0,21,13.5065,2,2,2,0.01587,616.3375,176
6,3,133,8284231.602,57.628,6,21,13.5065,2,2,2,0.01587,615.8889,177
6,3,99,4677210.0,40.054,1,21,13.5065,2,2,2,0.01587,612.575,178
