Grupo,Cat_Ench,Cat_Precip,Frecuencia,Volumen,Precipitac,Ingreso,Rezago,Población,Capacidad,Densidad,Conectivid,Severida50,Severida90,Severida75,id
15,4,3,198,10.01578,706.09722,0.67,3,6762,30975120.0,98.42606,2.0,0.1417,0.03025,0.07204,96
4,1,4,3,4.00833,737.39062,0.73,3,5242,9324480.0,21.19941,2.0,0.0019,0.00114,0.00143,97
15,4,3,198,10.01578,697.48529,0.63,3,8632,117251100.0,383.2118,3.0,0.1417,0.03025,0.07204,98
8,2,4,16,99.38516,732.2037,0.63,3,6888,38965869.0,86.14029,6.0,0.02253,0.02343,0.02309,99
15,4,3,188,8.10979,688.75,0.64,3,7359,14062059.7,50.95402,1.0,0.13434,0.02841,0.06814,100
7,2,3,21,108.05298,720.23707,0.65,3,7698,6838027.19,15.73793,2.0,0.02713,0.026,0.02643,101
15,4,3,188,8.10979,680.92708,0.63,3,4504,10647500.0,51.69427,,0.13434,0.02841,0.06814,102
7,2,3,11,5.51705,707.79,0.0,3,6274,17991600.0,45.14398,,0.00779,0.00261,0.00455,103
11,3,3,40,19.4925,673.38393,0.64,3,2733,11786800.0,51.61676,,0.03014,0.00974,0.01739,104
7,2,3,16,4.13203,719.94022,0.78,3,4562,76659731.2,193.9053,4.0,0.01119,0.00302,0.00609,105
16,4,4,118,10.4965,760.56944,0.83,3,2599,3050540.0,17.67536,2.0,0.0847,0.01894,0.0436,106
7,2,3,16,4.13203,704.93269,0.85,3,2648,87399181.0,340.05415,3.0,0.01119,0.00302,0.00609,107
16,4,4,118,10.4965,750.66964,0.83,3,2617,4624140.0,20.95054,,0.0847,0.01894,0.0436,108
7,2,3,16,4.13203,710.51974,0.85,3,2518,111868530.0,510.44072,1.0,0.01119,0.00302,0.00609,109
12,3,4,66,26.16288,743.84615,0.85,3,1678,3413961.0,15.84099,3.0,0.04948,0.01488,0.02785,110
11,3,3,26,278.64231,697.55556,0.75,3,4245,22062774.0,66.34283,,0.051,0.06327,0.05867,111
12,3,4,66,26.16288,737.46154,0.84,3,2212,,,,0.04948,0.01488,0.02785,112
11,3,3,49,10.12423,682.13462,0.86,3,3099,14281660.0,59.60103,,0.03544,0.00901,0.01892,113
16,4,4,265,7.71165,726.91176,0.74,3,2636,15833490.0,57.72979,,0.18922,0.03931,0.09553,114
7,2,3,8,27.38281,674.25,0.0,3,3144,22290745.0,126.57481,5.0,0.00825,0.00686,0.00738,115
15,4,3,198,10.01578,708.46212,0.67,3,738,24944980.0,49.78128,3.0,0.1417,0.03025,0.07204,116
3,1,3,1,36.0,676.64583,0.69,3,2543,11816500.0,117.2919,1.0,0.00428,0.00771,0.00643,117
15,4,3,198,10.01578,699.00625,0.64,3,9044,172978233.0,518.56845,13.0,0.1417,0.03025,0.07204,118
7,2,3,17,45.53529,664.11667,0.62,3,5172,4584300.0,8.40582,3.0,0.01683,0.01204,0.01384,119
15,4,3,188,8.10979,691.61719,0.61,3,6183,40248975.7,199.1716,2.0,0.13434,0.02841,0.06814,120
7,2,3,21,12.62798,658.8125,0.63,3,2718,1226030.0,9.40232,,0.01577,0.00556,0.00939,121
15,4,3,188,8.10979,686.90278,0.63,3,5598,39114347.0,202.73946,6.0,0.13434,0.02841,0.06814,122
11,3,3,30,44.77875,653.89286,0.69,3,2651,38363519.0,161.40771,10.0,0.02601,0.01373,0.01834,123
15,4,3,188,8.10979,681.56944,0.63,3,3811,49884200.0,339.53765,2.0,0.13434,0.02841,0.06814,124
4,1,4,3,0.0125,727.375,0.72,3,4901,53426880.0,170.19822,,0.00143,0.00029,0.00071,125
11,3,3,32,21.17266,676.0625,0.73,3,1894,32907460.0,294.84997,,0.02463,0.00896,0.01483,126
7,2,3,16,4.13203,715.51562,0.81,3,2021,46157300.0,294.8458,,0.01119,0.00302,0.00609,127
11,3,3,32,21.17266,670.11111,0.72,3,1483,34301892.0,307.70055,3.0,0.02463,0.00896,0.01483,128
3,1,3,3,0.0125,722.65,0.0,3,3260,66170341.0,343.69205,,0.00143,0.00029,0.00071,129
3,1,3,4,42.00625,666.43182,0.65,3,5307,73169497.0,361.29227,3.0,0.00714,0.00943,0.00857,130
7,2,3,13,1019.08365,706.44643,0.7,3,2737,11125145.0,24.85419,4.0,0.12988,0.22008,0.18626,131
16,4,4,118,10.4965,765.96875,0.81,3,2177,,,3.0,0.0847,0.01894,0.0436,132
11,3,3,49,10.12423,692.4375,0.82,3,3160,15924650.0,71.33437,3.0,0.03544,0.00901,0.01892,133
4,1,4,1,3.0,758.82292,0.84,3,2916,1268760.0,6.11716,,0.00036,0.00064,0.00053,134
11,3,3,49,10.12423,695.52083,0.81,3,3796,3675604.0,13.73534,4.0,0.03544,0.00901,0.01892,135
16,4,4,118,10.4965,752.80556,0.85,3,1488,469286.0,3.67279,,0.0847,0.01894,0.0436,136
11,3,3,35,23.46393,685.91406,0.69,3,4493,5560408.0,22.80066,2.0,0.02704,0.00988,0.01631,137
12,3,4,66,26.16288,753.0625,0.83,3,1855,,,,0.04948,0.01488,0.02785,138
11,3,3,39,28.86763,640.2252,0.56,3,804,356421463.0,174.23859,13.0,0.03054,0.0116,0.0187,139
12,3,4,66,26.16288,742.80556,0.85,3,4138,11133906.0,40.60993,4.0,0.04948,0.01488,0.02785,140
3,1,3,2,15.0,646.28958,0.6,3,5625,29334323.0,15.2002,23.0,0.0025,0.00335,0.00303,141
16,4,4,155,8.62153,733.95833,0.76,3,3176,3160230.0,13.03796,,0.11087,0.02381,0.05646,142
3,1,3,2,45.00625,683.40625,0.75,3,1768,,,,0.00607,0.00978,0.00839,143
16,4,4,155,8.62153,728.67857,0.8,3,1830,2340180.0,17.21472,,0.11087,0.02381,0.05646,144
3,1,3,2,45.00625,678.875,0.78,3,1855,,,,0.00607,0.00978,0.00839,145
15,4,3,155,8.62153,724.99038,0.74,3,3332,32690336.0,206.71615,2.0,0.11087,0.02381,0.05646,146
7,2,3,7,10.57679,718.075,0.75,3,630,,,,0.00554,0.00312,0.00403,147
15,4,3,70,107.04161,683.08135,0.52,3,995,12728713.4,12.725,20.0,0.06196,0.03278,0.04372,148
15,4,3,198,10.01578,700.8375,0.62,3,5230,86929386.0,387.53511,9.0,0.1417,0.03025,0.07204,149
7,2,3,14,19.93393,662.75312,0.71,3,380,17932335.0,26.8399,,0.01164,0.00612,0.00819,150
15,4,3,188,8.10979,681.47917,0.65,3,2388,7111640.0,60.97077,,0.13434,0.02841,0.06814,151
4,1,4,1,3.0,768.39844,0.83,3,2084,5689720.0,18.48045,3.0,0.00036,0.00064,0.00053,152
7,2,3,6,31.29583,697.53846,0.9,3,2133,2257657.0,9.4866,1.0,0.00729,0.00742,0.00737,153
