POB_S_AGUA,AREA_GEO,CAPACITY_W,DENSITY_WE,TOTAL_DEGR,WEGHITED_T,WEIGHTED_B,WEIGHTED_1,Frecuencia,Volumen,FrecCateg,PrecCateg,VolCateg,ProbaFP,ProbaVP,NormaFrec,NormaVol,IS50,IS90,IS75,Grupos,Grupos2,Precipitac,id
35,556413.6775,67855358.0,121.9512761,16,0.150507309,0.7204218,0.001248172,4,27.009375,1,4,3,0.30155642,0.229571984,0.004279601,0.006427847,0.005353724,0.006213022,0.005890785,3,4,804.0202703,60
41,164084.4809,2893388.203,17.63352748,1,0.036995489,0.0,0.0,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,885.8,61
28,176563.6916,75353.20313,0.426776323,0,0.0,0.0,0.0,7,0.0125,2,4,1,0.340466926,0.321011673,0.008559201,0.0,0.004279601,0.00085592,0.0021398,4,8,880.6704545,62
199,202655.6516,13945270.0,68.81263803,0,0.0,0.0,0.0,6,3.010416667,2,4,1,0.340466926,0.321011673,0.007132668,0.000713792,0.00392323,0.001355679,0.002318511,4,8,822.7361111,63
59,122855.7014,7436250.0,60.52832646,0,0.0,0.0,0.0,3,14.00833333,1,4,2,0.30155642,0.215953307,0.002853067,0.003332351,0.003092709,0.003284423,0.00321253,3,4,830.4875,64
29,164332.2807,0.0,0.0,0,0.0,0.0,0.0,7,0.0125,2,4,1,0.340466926,0.321011673,0.008559201,0.0,0.004279601,0.00085592,0.0021398,4,8,815.375,65
10,63730.53052,0.0,0.0,0,0.0,0.0,0.0,7,0.0125,2,4,1,0.340466926,0.321011673,0.008559201,0.0,0.004279601,0.00085592,0.0021398,4,8,811.6041667,66
38,174009.3091,3360180.0,19.3103462,0,0.0,0.0,0.0,42,51.09946429,3,4,3,0.210116732,0.229571984,0.058487874,0.012163599,0.035325737,0.016796027,0.023744668,5,12,797.5714286,67
64,150334.1608,1369220.902,9.107849443,0,0.0,0.0,0.0,42,51.09946429,3,4,3,0.210116732,0.229571984,0.058487874,0.012163599,0.035325737,0.016796027,0.023744668,5,12,788.5208333,68
56,196089.0367,0.0,0.0,0,0.0,0.0,0.0,7,0.0125,2,4,1,0.340466926,0.321011673,0.008559201,0.0,0.004279601,0.00085592,0.0021398,4,8,886.4,69
52,168025.1769,3738780.0,22.25130823,1,0.000917604,0.0108025,3.37e-05,2,25.00625,1,4,3,0.30155642,0.229571984,0.001426534,0.005950911,0.003688722,0.005498473,0.004819816,3,4,873.0729167,70
34,160889.4248,2534286.0,15.75172516,1,0.001649221,0.000257202,0.000392498,10,5.6075,2,4,1,0.340466926,0.321011673,0.012838802,0.001332147,0.007085474,0.002482812,0.004208811,4,8,854.1458333,71
104,308858.022,11658800.0,37.74808867,4,0.015236614,0.000171468,2.11e-05,7,1.725,2,4,1,0.340466926,0.321011673,0.008559201,0.000407739,0.00448347,0.001222885,0.002445605,4,8,841.1842105,72
70,309638.4726,132004.0,0.426316533,0,0.0,0.0,0.0,7,1.725,2,4,1,0.340466926,0.321011673,0.008559201,0.000407739,0.00448347,0.001222885,0.002445605,4,8,833.20625,73
32,136907.249,0.0,0.0,0,0.0,0.0,0.0,7,0.0125,2,4,1,0.340466926,0.321011673,0.008559201,0.0,0.004279601,0.00085592,0.0021398,4,8,820.78125,74
7,118395.9453,6294380.0,53.1638139,0,0.0,0.0,0.0,25,16.928,3,4,2,0.210116732,0.215953307,0.034236805,0.004027512,0.019132158,0.007048441,0.011579835,5,12,802.3875,75
31,144155.8444,1251040.0,8.678385569,1,0.000917604,0.0,0.0,25,16.928,3,4,2,0.210116732,0.215953307,0.034236805,0.004027512,0.019132158,0.007048441,0.011579835,5,12,795.65625,76
11,78152.7436,7611753.0,97.39585138,1,0.000138282,0.2512,3.52e-05,25,16.928,3,4,2,0.210116732,0.215953307,0.034236805,0.004027512,0.019132158,0.007048441,0.011579835,5,12,791.4375,77
6,66488.54857,6791720.0,102.148718,1,0.00266616,0.0,0.0,7,25.57678571,2,4,3,0.340466926,0.229571984,0.008559201,0.006086753,0.007322977,0.006333998,0.006704865,4,8,784.9464286,78
62,275869.5841,8128718.0,29.46580003,0,0.0,0.0,0.0,10,5.6075,2,4,1,0.340466926,0.321011673,0.012838802,0.001332147,0.007085474,0.002482812,0.004208811,4,8,857.15625,79
34,233306.4465,2910741.0,12.47604189,2,0.011389504,0.00360082,0.000419352,10,5.6075,2,4,1,0.340466926,0.321011673,0.012838802,0.001332147,0.007085474,0.002482812,0.004208811,4,8,858.8881579,80
58,356602.7694,0.0,0.0,0,0.0,0.0,0.0,4,0.0125,1,4,1,0.30155642,0.321011673,0.004279601,0.0,0.0021398,0.00042796,0.0010699,3,4,805.6547619,81
69,65459.72806,21511.09961,0.32861578,0,0.0,0.0,0.0,4,0.0125,1,4,1,0.30155642,0.321011673,0.004279601,0.0,0.0021398,0.00042796,0.0010699,3,4,815.2857143,82
7,23600.40971,139083.0,5.893245146,0,0.0,0.0,0.0,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,810.4375,83
38,128888.3661,2333386.0,18.10393033,1,0.005826424,0.215964,2.11e-05,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,806.0277778,84
4,22496.79775,0.0,0.0,0,0.0,0.0,0.0,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,802.25,85
41,133630.8841,30917510.0,231.3650037,3,0.000414846,0.0,0.0,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,798.6428571,86
5,42495.96336,0.0,0.0,0,0.0,0.0,0.0,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,798.625,87
16,48318.07566,0.0,0.0,0,0.0,0.0,0.0,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,796.4375,88
12,22317.06382,658993.0,29.52866047,1,0.001649221,0.657836,0.001156224,39,35.20032051,3,4,3,0.210116732,0.229571984,0.054208274,0.008378077,0.031293176,0.012961097,0.019835627,5,12,789.6875,89
