Frecsuma,VolMax,Volprom,Impercepti,Insuficien,Obstrucci,Hundimient,Falta de i,Falta Bomb,Ruptura,id
7,0.0125,0.0125,7,0,0,0,0,0,0,295
8,480.0,171.00625,4,3,0,0,0,0,1,296
2,0.0125,0.0125,2,0,0,0,0,0,0,297
2,8.0,4.00625,1,1,0,0,0,0,0,298
2,480.0,240.00625,1,1,0,0,0,0,0,299
4,120.0,38.00625,2,2,0,0,0,0,0,300
3,0.0125,0.0125,3,0,0,0,0,0,0,301
20,12.0,2.209375,15,3,2,0,0,0,0,302
2,8.0,4.00625,1,0,1,0,0,0,0,303
11,60.0,13.73181818,4,6,1,0,0,0,0,304
14,96.0,19.93392857,6,2,4,2,0,0,0,305
2,24.0,12.00625,1,1,0,0,0,0,0,306
11,90.0,20.50795455,7,2,2,0,0,0,0,307
6,12.0,2.010416667,5,0,1,0,0,0,0,308
1,0.0125,0.0125,1,0,0,0,0,0,0,309
1,0.0125,0.0125,1,0,0,0,0,0,0,310
3,14.4,7.470833333,1,1,1,0,0,0,0,311
14,480.0,75.97232143,9,5,0,0,0,0,0,312
10,54.0,8.6575,6,2,2,0,0,0,0,313
1,0.0125,0.0125,1,0,0,0,0,0,0,314
1,0.0125,0.0125,1,0,0,0,0,0,0,315
5,12.0,4.965,2,2,1,0,0,0,0,316
3,0.0125,0.0125,3,0,0,0,0,0,0,317
4,0.0125,0.0125,4,0,0,0,0,0,0,318
1,0.0125,0.0125,1,0,0,0,0,0,0,319
1,3.0,3.0,0,0,1,0,0,0,0,320
1,0.0125,0.0125,1,0,0,0,0,0,0,321
6,40.0,6.677083333,5,1,0,0,0,0,0,322
1,0.0125,0.0125,1,0,0,0,0,0,0,323
5,0.0125,0.0125,5,0,0,0,0,0,0,324
3,0.0125,0.0125,3,0,0,0,0,0,0,325
3,4.5,1.508333333,2,0,1,0,0,0,0,326
5,0.0125,0.0125,5,0,0,0,0,0,0,327
3,36.0,12.00833333,2,1,0,0,0,0,0,328
3,0.0125,0.0125,3,0,0,0,0,0,0,329
1,600.0,600.0,0,1,0,0,0,0,0,330
3,120.0,53.3375,1,2,0,0,0,0,0,331
1,0.0125,0.0125,1,0,0,0,0,0,0,332
160,1728.0,43.84115625,61,56,39,4,0,0,0,333
11,80.0,10.55568182,9,2,0,0,0,0,0,334
3,0.0125,0.0125,2,1,0,0,0,0,0,335
86,240.0,13.76148256,43,26,16,0,1,0,0,336
1,0.0125,0.0125,1,0,0,0,0,0,0,337
7,0.0125,0.0125,7,0,0,0,0,0,0,338
3,0.0125,0.0125,3,0,0,0,0,0,0,339
13,30.0,2.395192308,11,1,1,0,0,0,0,340
1,48.0,48.0,0,1,0,0,0,0,0,341
6,240.0,54.33958333,3,2,0,0,0,1,0,342
4,45.0,11.259375,3,0,1,0,0,0,0,343
29,160.0,21.7012931,21,2,5,1,0,0,0,344
1,4200.0,4200.0,0,0,0,0,1,0,0,345
10,100.0,18.45875,7,2,1,0,0,0,0,346
1,4.5,4.5,0,1,0,0,0,0,0,347
7,720.0,104.8642857,4,1,2,0,0,0,0,348
9,480.0,70.78472222,5,4,0,0,0,0,0,349
1,0.0125,0.0125,1,0,0,0,0,0,0,350
3,300.0,115.0,0,3,0,0,0,0,0,351
3,0.0125,0.0125,3,0,0,0,0,0,0,352
1,144.0,144.0,0,1,0,0,0,0,0,353
1,120.0,120.0,0,1,0,0,0,0,0,354
1,0.0125,0.0125,1,0,0,0,0,0,0,355
16,720.0,101.3992188,3,6,6,0,1,0,0,356
18,1500.0,172.3409722,11,6,1,0,0,0,0,357
3,1440.0,492.0041667,1,2,0,0,0,0,0,358
2,360.0,180.00625,1,1,0,0,0,0,0,359
459,960.0,50.33458606,208,178,64,6,2,1,0,360
7,36.0,6.328571429,4,1,2,0,0,0,0,361
47,1260.0,98.65053191,22,21,4,0,0,0,0,362
15,240.0,56.87083333,5,7,3,0,0,0,0,363
9,48.0,7.075,6,3,0,0,0,0,0,364
4,72.0,37.25,0,2,1,1,0,0,0,365
2,0.0125,0.0125,2,0,0,0,0,0,0,366
1,0.0125,0.0125,1,0,0,0,0,0,0,367
4,0.0125,0.0125,4,0,0,0,0,0,0,368
2,0.0125,0.0125,2,0,0,0,0,0,0,369
1,36.0,36.0,0,1,0,0,0,0,0,370
1,0.0125,0.0125,1,0,0,0,0,0,0,371
5,8.0,1.7875,3,0,1,1,0,0,0,372
3,0.0125,0.0125,3,0,0,0,0,0,0,373
20,900.0,77.929375,7,9,4,0,0,0,0,374
7,480.0,178.8589286,2,5,0,0,0,0,0,375
4,0.0125,0.0125,4,0,0,0,0,0,0,376
1,0.0125,0.0125,1,0,0,0,0,0,0,377
4,40.0,10.009375,3,1,0,0,0,0,0,378
1,0.0125,0.0125,1,0,0,0,0,0,0,379
1,0.0125,0.0125,1,0,0,0,0,0,0,380
3,42.0,14.00833333,2,0,1,0,0,0,0,381
3,200.0,66.675,2,1,0,0,0,0,0,382
13,50.0,5.702884615,11,1,1,0,0,0,0,383
10,220.5,44.3575,6,2,2,0,0,0,0,384
2,0.0125,0.0125,2,0,0,0,0,0,0,385
3,9.0,3.504166667,1,0,2,0,0,0,0,386
4,16.0,8.00625,2,1,1,0,0,0,0,387
2,0.0125,0.0125,2,0,0,0,0,0,0,388
6,108.0,37.0875,2,2,2,0,0,0,0,389
1,0.0125,0.0125,1,0,0,0,0,0,0,390
7,0.0125,0.0125,7,0,0,0,0,0,0,391
4,0.0125,0.0125,4,0,0,0,0,0,0,392
5,0.0125,0.0125,5,0,0,0,0,0,0,393
2,36.0,18.00625,1,1,0,0,0,0,0,394
1,24.0,24.0,0,0,1,0,0,0,0,395
9,30.0,4.676388889,7,1,1,0,0,0,0,396
8,2040.0,543.00625,4,4,0,0,0,0,0,397
20,1920.0,109.358125,13,6,1,0,0,0,0,398
1,8.0,8.0,0,1,0,0,0,0,0,399
12,280.0,33.25833333,8,4,0,0,0,0,0,400
10,120.0,40.90875,3,3,2,1,1,0,0,401
2,0.0125,0.0125,2,0,0,0,0,0,0,402
1,0.0125,0.0125,1,0,0,0,0,0,0,403
1,72.0,72.0,0,1,0,0,0,0,0,404
3,360.0,216.0041667,1,2,0,0,0,0,0,405
1,240.0,240.0,0,1,0,0,0,0,0,406
21,135.0,11.15238095,16,3,2,0,0,0,0,407
1,180.0,180.0,0,1,0,0,0,0,0,408
1,0.0125,0.0125,1,0,0,0,0,0,0,409
3,186.0,62.00833333,2,1,0,0,0,0,0,410
1,0.0125,0.0125,1,0,0,0,0,0,0,411
4,0.0125,0.0125,4,0,0,0,0,0,0,412
1,0.0125,0.0125,1,0,0,0,0,0,0,413
27,450.0,65.26388889,6,15,6,0,0,0,0,414
8,27.0,6.81875,4,2,2,0,0,0,0,415
4,32.0,8.009375,3,1,0,0,0,0,0,416
3,0.0125,0.0125,3,0,0,0,0,0,0,417
3,1.5,0.508333333,2,0,1,0,0,0,0,418
13,1250.0,208.2721154,3,7,2,0,1,0,0,419
11,12000.0,1176.095455,4,7,0,0,0,0,0,420
12,96.0,22.38333333,7,4,0,0,1,0,0,421
30,96.0,10.34541667,21,5,4,0,0,0,0,422
2,31.5,15.75625,1,0,1,0,0,0,0,423
3,0.0125,0.0125,3,0,0,0,0,0,0,424
2,180.0,94.5,0,2,0,0,0,0,0,425
2,0.0125,0.0125,2,0,0,0,0,0,0,426
5,960.0,352.0025,1,3,1,0,0,0,0,427
4,6.0,1.509375,3,0,0,0,0,1,0,428
4,10.0,2.509375,3,0,1,0,0,0,0,429
3,600.0,216.8333333,0,2,1,0,0,0,0,430
1,0.0125,0.0125,1,0,0,0,0,0,0,431
11,240.0,104.9125,3,8,0,0,0,0,0,432
2,4.0,2.00625,1,0,1,0,0,0,0,433
1,0.0125,0.0125,1,0,0,0,0,0,0,434
1,60.0,60.0,0,1,0,0,0,0,0,435
134,15750.0,287.8972015,47,78,8,0,0,1,0,436
1,11.25,11.25,0,1,0,0,0,0,0,437
1,0.0125,0.0125,1,0,0,0,0,0,0,438
3,0.0125,0.0125,3,0,0,0,0,0,0,439
12,120.0,20.425,8,3,1,0,0,0,0,440
5,14.0,5.2075,3,1,1,0,0,0,0,441
8,48.0,6.571875,5,2,1,0,0,0,0,442
9,250.0,75.8125,1,6,1,0,1,0,0,443
3,175.0,62.3375,1,2,0,0,0,0,0,444
1,0.0125,0.0125,1,0,0,0,0,0,0,445
1,31.5,31.5,0,0,1,0,0,0,0,446
16,120.0,11.1640625,10,2,3,0,0,0,1,447
1,0.0125,0.0125,1,0,0,0,0,0,0,448
16,480.0,86.39765625,9,4,3,0,0,0,0,449
9,42.0,13.22638889,3,1,5,0,0,0,0,450
3,140.0,61.67083333,1,1,0,0,0,1,0,451
25,180.0,13.836,16,5,3,0,0,0,1,452
1,0.0125,0.0125,1,0,0,0,0,0,0,453
4,24.0,6.009375,3,1,0,0,0,0,0,454
4,135.0,33.759375,3,1,0,0,0,0,0,455
10,600.0,147.805,4,5,0,0,1,0,0,456
2,0.0125,0.0125,2,0,0,0,0,0,0,457
