name,resili_a,resili_b,resili_c,resili_d,resili_e,suscep_a,suscep_b,suscep_c,suscep_d,suscep_e,exposi,resili,suscep,vulnera,exposi_a,exposi_b,exposi_c,exposi_d,id
LOS REMEDIOS,0.035607077110808,0.206843319484652,0.69901,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.026401588379542,0.1429,0.161,0.431,0.223,0.204,0.207,0.0,0.165,0.25,1613
GUADALUPE TICOMAN,0.070929630976123,0.177158529090727,0.70508,0.733494109833587,0.623970978707279,0.947,0.97612921269861,0.0,0.019296640274921,0.1349,0.3,0.417,0.415,0.518,0.177,0.0,0.0,0.976,1614
LA PURISIMA TICOMAN,0.070929630976123,0.177158529090727,0.70508,0.733494109833587,0.623970978707279,0.947,0.97612921269861,0.0,0.019296640274921,0.1349,0.3,0.417,0.415,0.518,0.177,0.0,0.0,0.976,1615
INFONAVIT,0.070929630976123,0.177158529090727,0.70508,0.733494109833587,0.623970978707279,0.947,0.97612921269861,0.0,0.019296640274921,0.1349,0.3,0.417,0.415,0.518,0.177,0.0,0.0,0.976,1616
SIETE MARAVILLAS,0.070929630976123,0.177158529090727,0.70508,0.733494109833587,0.623970978707279,0.947,0.97612921269861,0.0,0.019296640274921,0.1349,0.3,0.417,0.415,0.518,0.177,0.0,0.0,0.976,1617
TICOMAN,0.070929630976123,0.177158529090727,0.70508,0.733494109833587,0.623970978707279,0.947,0.97612921269861,0.0,0.019296640274921,0.1349,0.3,0.417,0.415,0.518,0.177,0.0,0.0,0.976,1618
SANTA MARIA TICOMAN,0.070929630976123,0.177158529090727,0.70508,0.733494109833587,0.623970978707279,0.947,0.97612921269861,0.0,0.019296640274921,0.1349,0.3,0.417,0.415,0.518,0.177,0.0,0.0,0.976,1619
AMPL PROGRESO NACIONAL,0.032765359676491,0.226649143786895,0.74205,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.108334489577635,0.1001,0.263,0.448,0.231,0.274,0.227,0.0,0.165,0.616,1620
NUEVA INDUSTRIAL VALLEJO NORTE,0.030509371986221,0.223331045564555,0.67411,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.117045623549552,0.1212,0.281,0.432,0.237,0.308,0.223,0.001,0.165,0.692,1621
VALLEJO LA PATERA,0.077808177179388,0.240758383832528,0.87845,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.0,0.1731,0.238,0.485,0.224,0.21,0.241,0.0,0.0,0.676,1622
SECRETARIA DE COMUNICACIONES Y TRANSPORTES,0.077808177179388,0.240758383832528,0.87845,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.0,0.1731,0.205,0.485,0.224,0.186,0.241,0.0,0.0,0.55,1623
HECTOMETRO VALLEJO,0.019564375112527,0.244125996742658,0.80158,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.0,0.1544,0.163,0.465,0.22,0.168,0.244,0.005,0.0,0.371,1624
CONDUMODULOS,0.033631733991282,0.250351294185705,0.91313,0.733494109833587,0.659261971278421,0.9735,0.0,0.0,0.003169786981003,0.1496,0.072,0.491,0.225,0.078,0.25,0.006,0.0,0.013,1625
UNIDAD LINDAVISTA VALLEJO,0.033631733991282,0.250351294185705,0.91313,0.733494109833587,0.659261971278421,0.9735,0.0,0.0,0.003169786981003,0.1496,0.185,0.491,0.225,0.164,0.25,0.006,0.0,0.447,1626
UNID PROFES ZACATENCO LINDAVISTA,0.12300013620161,0.228515537491341,0.93734,0.733494109833587,0.617266152252252,0.947,0.0,0.0,0.017841557450879,0.1493,0.247,0.488,0.223,0.214,0.229,0.012,0.0,0.697,1627
SAN BARTOLO ATEPEHUACAN,0.12300013620161,0.228515537491341,0.93734,0.733494109833587,0.617266152252252,0.947,0.0,0.0,0.017841557450879,0.1493,0.077,0.488,0.223,0.082,0.229,0.012,0.0,0.043,1628
TORRES LINDAVISTA,0.12300013620161,0.228515537491341,0.93734,0.733494109833587,0.617266152252252,0.947,0.0,0.0,0.017841557450879,0.1493,0.231,0.488,0.223,0.202,0.229,0.012,0.0,0.637,1629
LA LAGUNA TICOMAN,0.02901381466983,0.182655427799079,0.77307,0.733494109833587,0.623970978707279,0.947,0.082669254692317,0.0,0.006550691720602,0.1354,0.069,0.429,0.234,0.146,0.183,0.0,0.0,0.083,1630
LA ESCALERA,0.02901381466983,0.182655427799079,0.77307,0.733494109833587,0.623970978707279,0.947,0.082669254692317,0.0,0.006550691720602,0.1354,0.069,0.429,0.234,0.146,0.183,0.0,0.0,0.083,1631
ACUEDUCTO,0.034762334926178,0.172702766295308,0.72403,0.733494109833587,0.623970978707279,0.947,0.233678936629523,0.0,0.003899472599805,0.1173,0.107,0.416,0.26,0.214,0.173,0.001,0.0,0.234,1632
SAN PEDRO ZACATENCO,0.032182141520901,0.176301297665845,0.80486,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.029351344620305,0.1277,0.2,0.433,0.221,0.23,0.176,0.0,0.0,0.592,1633
RES ZACATENCO,0.032182141520901,0.176301297665845,0.80486,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.029351344620305,0.1277,0.139,0.433,0.221,0.184,0.176,0.0,0.0,0.357,1634
