Población,Precipitación,"Edad infra","Índice ingreso","Falla infra","Presión mediática","Falta infra","Escasez",Hundimiento,"Enfermedades gastro","Sin drenaje","Sin agua",Encharcamientos,id
4552,743,50,0.664078573,0.5,0.25,0.25,0.0625,1,0.71992,0,0,8.8287032053,6283
5642,740,50,0.641761541,0.5,0.0625,0.25,0.0625,1,0.56742,0,0,2.7468796593,6279
4353,744,50,0.684026249,0.5,0.125,0.0625,0.0625,1,0.65761,0,0,11.8725536765,6282
7579,735,50,0.581742354,0.5,0.0625,0.125,0.0625,1,2.58776,0,4.1645,0.3876787357,6264
4675,732,50,0.67556468,0.25,0.125,0.0625,0.0625,1,1.65245,0,0,17.4670528062,6260
5370,736,50,0.482243926,0.25,0.125,0.125,0.0625,0,1.31157,0,3.994,0.1642471807,6531
3613,727,50,0.572618346,0.25,0.0625,0.0625,0.0625,1,0.89909,0,0,0.7630320975,6492
4627,734,50,0.609212227,0.25,0.125,0.0625,0.0625,1,0.4369,0,0,2.6694636263,6253
2801,737,50,0.792071109,0.25,0.0625,0.0625,0.0625,1,0.41729,0,0,1.8582430321,6269
3951,749,50,0.766542658,1,0.125,0.0625,0.0625,1,2.08083,0,0,3.3462231483,6409
3185,739,50,0.802121809,0.5,0.0625,0.0625,0.0625,0,0.31306,0,0.6527,0.3628859095,6522
2357,744,50,0.698748071,0.5,0.0625,0.0625,0.0625,0,0.23449,0,0,12.8143515154,6288
1856,740,50,0.424789282,0.0625,0.0625,0.0625,0.0625,0,0.43991,0,0,0.0596006444,6515
808,745,50,0.804699038,1,0.125,0.0625,0.0625,0,0.08111,0,0,26.6001479442,6319
3415,746,50,0.769543444,1,0.125,0.0625,0.0625,1,0.34196,0,0.4283,10.29516453,6353
4629,732,50,0.682279522,0.25,0.25,0.0625,0.0625,1,1.23077,0.4184,0,12.3335734841,6259
2872,744,50,0.745551492,0.5,0.0625,0.0625,0.0625,1,2.76957,0,0,0.143974809,6484
10216,725,50,0.605340819,0.5,0.5,0.0625,0.0625,1,2.79013,0,0,1.1266618368,6251
5161,729,50,0.57869005,0.25,0.125,0.125,0.0625,1,1.41143,0,0,3.1529266292,6254
3389,749,50,0.536630226,0.0625,0.0625,0.0625,0.0625,1,0.31931,0,0.4831,2.1518952674,6513
3522,738,50,0.50399671,0.5,0.0625,0.0625,0.0625,0,0.48148,0,1.009,0.5088716502,6500
1750,740,50,0.863819429,0.5,0.0625,0.0625,0.0625,0,0.17549,0,0,0.3458253852,6523
3399,742,50,0.834848126,1,0.125,0.0625,0.0625,0,0.32669,0,0,5.4304365709,6303
3179,749,50,0.748659798,1,0.0625,0.0625,0.0625,1,0.46151,0,0,3.5647014643,6410
6431,752,50,0.648102762,0.5,0.125,0.0625,0.0625,0,3.74769,0,0,0.7489612009,6365
5938,728,50,0.57702583,0.5,0.25,0.0625,0.0625,1,1.62983,0.1957,0.196,0.9867910804,6535
3128,724,50,0.496117596,0.25,0.0625,0.0625,0.0625,1,0.76856,0,0.4813,1.4702581118,6478
3794,722,50,0.619342793,0.25,0.125,0.0625,0.0625,1,1.0305,0,0.6,0.5038011,6491
4360,735,50,0.594369214,0.5,0.125,0.0625,0.0625,1,0.84213,0.2595,0,1.4243351407,6266
3762,743,50,0.679742522,0.5,0.125,0.0625,0.0625,1,1.74426,0,0,3,6465
33,744,50,0.840896415,1,0.25,0.0625,0.0625,1,0.00636,0,0,1.479866787,6306
3559,748,50,0.776315981,1,0.25,0.125,0.0625,1,0.69748,0,1.5311,4.2191571806,6387
1668,750,50,0.659828151,1,0.25,0.0625,0.0625,1,0.32762,0,0,0.3072498096,6373
4710,754,50,0.631842126,0.5,0.125,0.0625,0.0625,0,2.69996,0,0,0.7683291095,6396
7534,757,50,0.672173278,1,0.125,0.125,0.0625,0,3.37956,0,0.2189,0.6690763045,6395
5,754,50,0,0.5,0.0625,0.0625,0.0625,0,0.00071,0,0,2.6723643589,6420
5449,747,50,0.68599323,1,0.125,0.125,0.0625,1,0.76508,0.2538,0.4439,1.6894665207,6404
2195,736,50,0.823728659,0.25,0.0625,0.0625,0.0625,1,0.86506,0,0,2.2308514508,6496
